Name of Product,Batch No,Manufactured By,Reporting Month & Year
Pulmosil (Sildenafil Injection),KFA0300,"M/s Sun Pharmaceuticals Ind., Ltd., Halol-Baroda Highway, Halol- 389350, Dist- Panchmahal, Gujarat, At Survey No. 250- 252,Turkapally-Village- Shameerpet Mandal, Ranga Reddy District- 500078, Telangana",01-08-2024
Pantocid (Pantoprazole Tablets IP),SID2041A,"M/s Sunpharma laboratories ltd. Plot no. 107-108, Namli Block, P.O. Ranipool, East Sikkim-737135",01-08-2024
Amoxicillin And Potassium Clavulanate Tablets IP (Clavam 625),23443940,"M/s. Alkem Health Science, Unit-2, Samardung, Karek Block, P.O. Namthang, South Sikkim 737 137.",01-08-2024
Pantoprazole Gastro-Resistant and Domperidone Prolonged-Release Capsules IP (Pan - D),23444296,"M/s. Alkem Health Science, Unit-2, Samardung, Karek Block, P.O. Namthang, Dist. Namchi, Sikkim 737 137.",01-08-2024
Adrenaline Injection I.P. Sterile 1 ml,AI22268,"M/s. Alves Healthcare Pvt. Ltd., Nangal Uperla, Swarghat Road, Nalagarh, Distt. Solan-174101 (HP).",01-08-2024
"Salbutamol, Bromhexine HCI, Guaifenesin and Menthol Syrup(Acozil Expectorant)",A-244003,"M/s. Antila Lifesciences Pvt Ltd, Plot No. P-2, Savli Bio- Tech Park, At-Manjusar, Tal-Savli, Dist- Vadodara- 391775, Gujarat,",01-08-2024
Laxnorm Solution (Lactulose Solution USP),LG24-0204,"M/s. Athens Life Sciences, Mauza Rampur Jattan, Nahan Road, Kala Amb, Dist-Sirmour, HP-173030",01-08-2024
Cefepime & Tazobactam for Injection (Crupime - TZ Kid Injection),I230041A,"M/s. Cosmas Research Lab. Ltd., Village: Gaunspura, P.O. Noorpur Bet, Hambran, Ludhiana 141 008",01-08-2024
Heparin Sodium Injection 5000 Units (Hostranil Injection),HIHE23028A,"M/s. Health Biotech Ltd., Village: Sandoli, Nalagarh Road, Baddi, Distt. Solan (H.P.), India-173205",01-08-2024
Cepodem XP 50 Dry Suspension (Cefpodoxime Proxetil and Potassium Clavulanate Oral Suspension),PEA0083,"M/s. Hetero Labs Limited (Unit-I), Village: Kalyanpur, Chakkan Road, Tehsil: Baddi, Dist: Solan, Himachal Pradesh - 173205.",01-08-2024
"Nimesulide, Paracetamol and Chlorzoxazone Tablets (NICIP MR)",GS22236,"M/s. HSN International Plot No. 54-55, Sector-6A, SIDCUL, Haridwar, (Uttarakhand) 249403",01-08-2024
Telmisartan Tablets IP 40 mg,LMT240502,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector 6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-08-2024
Amoxycillin and Potassium Clavulanate Tablets IP 625 mg (Renamega- CV 625),MD19AA08,"M/s. Malik Lifesciences Pvt. Ltd. (A Subsidiary of Akums Drugs & Pharmaceuticals Ltd.) Plot No. Vardhman, Indl. Estate, N.H.58, Haridwar-247667 (Uttarakhand)",01-08-2024
Deflazacort Tablets ( Defcort 6 Tablets),GDB23041A,"Macleods Pharmaceuticals Ltd., 367/7, Kabra Industrial Estate, Kanchigam, Daman-396 210 (U.T)",01-08-2024
Omeprazole & Domperidone Capsules IP (Omerin-D Capsules),RC-331223,"M/s. Renowed Life Sciences, Plot No-12, Sector-6B, SIDCUL,, Haridwar, Uttarakhand (India) 249403",01-09-2024
Ofloxacin & Ornidazole Tablets I.P. (SMB OZ TABLETS),B22-114,"M/s. Saint Michael Biotech, No. 130, Village Kurdi, Manglore, Jharbrera Road, Roorkee- 247656 (Haridwar) (U.K.)",01-09-2024
Oxytocin Injection I.P. 5 IU/1 ml,OTC-382A,"M/s. Pushkar Pharma, Kheri, Kala Amb - 173030 (H.P.).",01-09-2024
Domperidon Suspension (Vomitel),U587F2401,"M/s. Rainbow Life Sciences Pvt. Ltd., C/o. Unijules Life Sciences Ltd., B-35, 36, MIDC Kalmeshwar, Nagpur 441 501.",01-09-2024
Metformin Hydrochloride 500 mg SR & Glimepiride 2 mg Tablets IP (SPAMET GM 2 Tablets),TF147A,"M/s. Swiss Biotech Parenterals , Kewat No. 1138, VPO - Kachhwa, Karnal- 132001, Haryana",01-09-2024
Metronidazole Tablets I.P. 400 mg,HMAA04,"M/s. Hindustan Antibiotics Ltd., At: 11 W.E.A. Faridabad - 121001 (Haryana) R.O. Pimpri, Pune - 411 018, India",01-09-2024
Ketoconazole Cream BP (Nozal Cream),4129,"M/s. Olcare Laboratories 505/A, GIDC Estate, Wadhwan City - 363035, Dist. Surendranagar, Gujarat",01-09-2024
Heparin Sodium Injection IP 5000 IU / 5ml (Hepathin 5000 Injection 5 ml / vial),L1192317G,"M/s. Protech Telelinks, Mauza Ogli, Suketi Road, Kala Amb, Dist- Sirmour (H.P.) 173030",01-09-2024
Heparin Sodium Injection IP 5000 IU / 5ml (Hepathin 5000 Injection 5 ml / vial),L1192317C,"M/s. Protech Telelinks, Mauza Ogli, Suketi Road, Kala Amb, Dist- Sirmour (H.P.) 173030",01-09-2024
Oxytocin Injection I.P. 1 ml,22X23002,"M/s. Radiant Parenterals Ltd., 242/4, 5 & 6, G.I.D.C. Estate at & Post Waghodia, Dist. Vadodara, Gujarat 391 760.",01-09-2024
Gentamicin Injection I.P. (Gentagain ),IGMJ330,"M/s. Regain Laboratories 134/5, HTM Road, Raipur Lane, Hisar-125001",01-09-2024
Calcium 500 mg and Vitamin D3 250 IU Tablets IP,LMT240025,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector 6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-09-2024
Glimepiride Tablets IP 1 mg,LMT240339,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-09-2024
Calcium Gluconate Injection I.P. 10 ml,MA24E55,"M/s. Martin & Brown Biosciences Pvt. Ltd., K. No. 918/419, Malkumajra, Nalagarth Road, Baddi, Dist. Solan (H.P.) 173205",01-09-2024
Fexofenadine Hydrochloride Tablets IP,T-2403971,"M/s. Oscar Remedies Pvt. Ltd., Oscar House, Badi Majra, Yamuna Nagar - 135 001 (HR)",01-09-2024
Fexofenadine Hydrochloride Tablets I.P.,658-021,"M/s. Signature Phytochemical Industries, 122, MI, Selaqui Industrial Area, Dehradun - 248 011.",01-09-2024
Cetirizine Dihydrochloride Syrup (Citrize- P),275,"M/s. Arrow Pharma, Palia road, Hatod- 453111",01-09-2024
Ifosfamide for Injection IP with Mesna Injection (Celofos 1000 Injection),"OL0492(for Ifosfamide), GN2064(for Mesna)","M/s. Kwality Pharmaceuticals Limited,1-A,Industrial Area,Raja Ka Bagh, Tehsil Nurpur, Kangra- 176201(India)",01-09-2024
Glimepiride Tablets I.P. 2 mg,LMT240157,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-09-2024
Ofloxacin and Ornidazole Intra Uterine Solution (Vet.) (UTROCLEAR- OZ SOLUTION),V-2727,"M/s. Ramson Remedies,186-187, Industrial Focal Point, Amritsar.",01-09-2024
Ceftriiaxone Injection I.P. 1g,324476,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",01-09-2024
Gentamycin Sulphate Injection I.P. 40 mg/ml,324-564,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",01-09-2024
Glipizide Tablets I.P. 5 mg,Z24-187,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173205",01-09-2024
"Aluminum Hydroxide, Simethicone & Magnesium Hydroxide Suspension (Spisam Gel)",L22455,"M/s.Aan Pharma Pvt. Ltd., 816/1, Rakanpur, Tal. Kalol, Dist. Gandhinagar, 380060, Gujarat, (India)",01-09-2024
Amoxicillin And Potassium Clavulanate Tablets I.P. (CLAVAM 625),23443940,"M/s.Alkem Health Science, A Unit of Alkem Laboratories Limited, Unit-2, Samardung, Karek Block, P.O. Namthang, South Sikkim - 737 137.",01-09-2024
Cefoperazone and Sulbactam for Injection (KEFZONE-S INJECTION),AB234007C,"M/s.ANG Lifesciences India Ltd.,Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt.: Solan, HP- 174101",01-09-2024
Piperacillin and Tazobactam Injection IP (CASIDTAZ P Injection),AB154006B,"M/s.ANG Lifesciences India Ltd.,Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt.: Solan, HP- 174101",01-09-2024
Loperamide Hydrochloride Tablets I.P. 2 mg (LOMJAN),L-2401,"M/s.Arya Pharmaceuticals, 111- c, Industrial Estate, Indore-15.",01-09-2024
Ciprofloxacin Tablets IP 500 mg (CIPRODAC 500),JKBD24009,"M/s.Cadila Pharmaceuticals Limited,, Industrial Growth Center, Samba -184 121, State of J & K",01-09-2024
Fluorometholone Eye Drops IP,CHE-3044,"Cotec Healthcare pvt.Ltd, K.H.No.593/1, Roorkee, Dehradun Highway, Kishanpur, Roorkee- 247 667, UK",01-09-2024
Wintel 40 Tablets,HTN257D,"Himalaya Meditek pvt.Ltd, Plot No. 35 & 36, Pharmacity, Selaqui, Industrial Area, Dehradun - 248 197",01-09-2024
Panlib 40 Tablets,HTN 102A,"Himalaya Meditek pvt.Ltd, Plot No. 35 & 36, Pharmacity, Selaqui, Industrial Area, Dehradun",01-09-2024
Floxages-OZ (Ofloxacin and Ornidazole Tablets IP),SPY41223,"Suraksha Pharma pvt.Ltd, 410, Karondi, Roorkee-247 667, Uttarakhand",01-09-2024
Fluconazole Tablets IP 150 mg (Flucse - 150),CHT23621,"M/s.Cureza Healthcare Pvt. Ltd., A.B. Road, Girwai- 474001",01-09-2024
Promethazine Hydrochloride Injection I.P. (PHENERGAN),AHH0367,"M/s.Nitin Lifesciences Ltd., Rampur Road, Paonta Sahib, Dist. Sirmour - 173025 (H.P.), India",01-09-2024
COMPOUND SODIUM LACTATE INJECTION I.P. (RL),03BF2475,"M/s.Paschim Banga Pharmaceuticals, NH- 31, TIN MILE HAT, SONAPUR HAT, P. S. CHOPRA, DISTRICT- UTTAR DINAJPORE, PIN-733214 (W.B.)",01-09-2024
Gentamicin Sulphate Injection IP (P- Genta Injection),PA022415,"M/s.Primus Pharmaceuticals, Sadhoura Road, Mouza ogli Khari Vill Asgarpur Majra, Kala Amb. Distt. Sirmour- (H. P.) 173030",01-09-2024
Ramipril Tablets I.P. 2.5 mg,RT-231084,"M/s.Relief Biotech Pvt. Ltd., Khasra No. 72, Makhyali Dundi, Peerpura Road, Roorkee Bypass, Delhi Road, Manglour, Roorkee - 247656, Haridwar (U.K.).",01-09-2024
"Dextromethorph an Hydrobromide, Chlorpheniramin e Maleate and Phenylephrine Hydrochloride Syrup (COUGH- DM Cough Syrup)",SHL3037,"M/s.Sunfine Healthcare,Plot No. 63, Ind. Area Lodhimajra, Tehsil Baddi, Distt. Solan (H.P.) 173205",01-09-2024
Methylcobalami n Injection 2500 mcg (NUROFENS- 2500 Injection),SRID24010 1,"M/s.Systole Remedies Pvt. Ltd.,Vill. Ogli, Kala Amb, Teh. Nahan, Distt. Sirmour (H.P.) - 173 030",01-09-2024
Paracetamol Paediatric Oral Suspension IP,V0244001,"M/s.Vivimed Labs Limited., Plot No. 25, Kundeshwari Village, Kashipur 244713, Uttarakhand.",01-09-2024
Frusemide Injection IP 20 mg,FRIB-03,"Nestor Pharmaceuticals Ltd, 11, Western Extension Area, Faridabad -121001",01-09-2024
Cloxacillin Sodium Capsules IP 250 mg,CLCA-04,"Nestor Pharmaceuticals Ltd, 11, Western Extension Area, Faridabad -121001",01-09-2024
Cefuroxime Axetil Tablets IP 500 mg (JKMSCL Supply),JAK-23,Agron Remedies Pvt Ltd Sarverkhera Moradabad Road Kashipur 244 713 (Uttarakhand),01-09-2024
Neurotem-NT,CPT-2698,"Catasta Pharmaceuticals Plot No. 113, DIC, Industrial Area, Baddi Distt. Solan (H.P) Mrk. By : Cosway Biosciences Coprporate Office : Khasra No. 2054/1724, 1725 SCO No. 11 Baddi Barotiwala Road The. Baddi Distt. Solan H.P 173205",01-09-2024
C Mont LC Kid 60 ml (Montelukast & Leveocetirizine Dihydrochloride syrup),AL 23206,"Cian Healthcare Ltd, kh No.248, Village sisonia, Bhagwanpur, Roorkee, Haridwar, Uttarakhand- 247 661",01-09-2024
Nandrolone Decanoate Injection IP 25mg/ml (Deca- Durabolin 25 Inj.),G202620,Under Investigation,01-09-2024
Moxica -250 [Amoxicillin Dispersible Tablets IP 250 mg],SD 243,"Indica Pharmaceuticals (P) Ltd, Bapunagar, Ahmedabad- 382 345",01-09-2024
Loperamide Hydrochloride Tablets IP (JKMSCL Hospital Supply),T-16201,"Karnani Pharmaceuticals Pvt. Ltd , 38 Pharma City , Selaqui Dehradun -248011",01-09-2024
Telmisartan Tab IP 40 mg,D1153/24-25,"Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram- 14",01-09-2024
Pantoprazole Inj.BP 40 mg,D 0923/24- 25,"Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram- 14",01-09-2024
Glimepiride Tab IP,D1272/24-25,"Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram- 14",01-09-2024
Cough Syrup,D 1278/24- 25,"Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram- 14",01-09-2024
Calcium and Vitamin D3 Tablets I.P (SHELCAL 500),GDXD0581,Under Investigation,01-09-2024
Pantoprazole Gastro-Resistant and Domperidone Prolonged- Release Capsules I.P. (PAN-D),23443507,Under Investigation,01-09-2024
Pantoprazole Gastro-resistant Tablets IP.. (PAN 40),22442076,"M/s. Alkem Health Science, A Unit Of Alkem Laboratories Limited, Unit-2, Samardung, Karek Block, P.O.: Namthang, South Sikkim - 737 137.",01-09-2024
Cefpodoxime Tablets IP 200 mg (Monocef-O 200),BPH232520,"M/s. Aristo Pharmaceuticals Pvt. Ltd., Village: Makhnumajra. P.O.- Bhud, Baddi, Dist: Solan (H.P.)- 173205",01-09-2024
Cefpodoxime Tablets IP 200 mg (Monocef-O 200),BPD231045,"M/s. Aristo Pharmaceuticals Pvt. Ltd., Village: Makhnumajra. P.O.- Bhud, Baddi, Dist: Solan (H.P.)- 173205",01-09-2024
Cipronir 500 (Ciprofloxacin Tablets IP 500 mg),CCF212003,"M/s. Celebrity Biopharma Ltd., Vill. Panga, Via - Jharmajri, Hill Top Estate, Barotiwala, Distt. Solan, H.P. 174103",01-09-2024
Glycopyrrolate 0.5 mg / 5ml + Neostigmine methysulfate Injection 2.5 mg / 5ml) (Stimin),GNI2406AC,"M/s. Celon Laboratories Pvt. Ltd., Plot No. 2, ALEAP Industrial Estate, Gajularamaram, Medchal District - 500 090, Telangana State, India.",01-09-2024
"Dried Aluminium Hydroxide, Magnesium Hydroxide & Activated Dimethicone Suspension (Chill Acid MPS)",DNS- 2210001,"M/s. Devout Nord (I) Ltd., Plot No. 28B, Sector-8B, IIE, Sidcul, Haridwar-249 403 (U.K).",01-09-2024
Bupropion Hydrochloride Extended Release Tablets USP (Nopion 150 Tablets),GTD0768,"M/s. Digital Vision, 176, Mauza Ogli, Nahan road, Kala- Amb, Distt. Sirmour (H.P.)-17030",01-09-2024
Diclofenac Sodium Tablets IP 50 mg,HDFA02,"M/s. Hindustan Antibiotics Ltd., At: 11 W.E.A. Faridabad - 121001 (Haryana) R.O. Pimpri, Pune - 411 018, India",01-09-2024
Nimesulide & Paracetamol Tablets (Nimuvent-P Tablets),GD332005,"M/s. Innova Captab Limited, 1281/1, Hilltop Industrial Estate, Near EPIP, Phase-I, Jharmajri, Baddi, Dist. Solan (H.P.)",01-09-2024
"Aceclofenac 100 mg, Serratiopeptidas e 15 mg & Paracetamol 325 mg Tablets(ZEROD OL-SP TABLETS)",FND033076 AS,"M/s. Ipca Laboratories Ltd. .,393/394, Melli Jorethang Road, Gom Block, Bharikhola, South District, Sikkim- 737 121",01-09-2024
Torsemide Tablets IP 10 mg (Torverge- 10 Tablets),GT7137A,"M/s. J.M.LABORATORIES., Village- Bhanat, PO - Ghatti, Subathu Road, Solan (HP) 173211Himachal Pradesh - 173 205",01-09-2024
